Name,Department,Specialization,Profile Link
Dr  AATIKA NIZAM,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/Njc4/MTc=
Dr  ABHILASH K P,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/NzExOQ==/MTg=
Dr  ABHISHEK MAJHI,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/ODQ4NQ==/MTg=
Dr  ABRAHAM V M,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MTI0/MzI=
Dr  AJESH VIJAYAN,CHEMISTRY,Organic Chemistry,https://christuniversity.in/Chemistry/faculty-details/NDQ0MA==/MTc=
Dr  AKSHITA SHARMA,STATISTICS AND DATA SCIENCE,Reliability Theory,https://christuniversity.in/statistics_and _data_science/faculty-details/NjkzMw==/OTEy
Dr  ALOK KUMAR MALAVIYA,LIFE SCIENCES,Industrial Biotechnology,https://christuniversity.in/Life Sciences/faculty-details/MjY0MA==/NjA=
ALWIN JOSEPH,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTQ3OA==/NjI=
AMALA JOHNSON,DATA SCIENCE (Lavasa),Statistics,https://christuniversity.in/Computer Science/faculty-details/NTgyNw==/NjI=
Dr  AMIT CHAUHAN,LIFE SCIENCES,Forensic Sciences,https://christuniversity.in/Life Sciences/faculty-details/NTM0NQ==/NjA=
AMRUTH P,LIFE SCIENCES,Marine Biology,https://christuniversity.in/Life Sciences/faculty-details/ODQ3MQ==/NjA=
Dr  AMRUTHA K,COMPUTER SCIENCE,Computer Science and Engineering,https://christuniversity.in/Computer Science/faculty-details/NzE0Mg==/NjI=
ANANYA MITRA,DATA SCIENCE (Lavasa),Data Analytics,https://christuniversity.in/Computer Science/faculty-details/ODYyNw==/NjI=
Dr  ANILA E I,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/NDc1Mw==/MTg=
Dr  ANILA ROSE CHERIAN,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/NjkxNg==/MTc=
Dr  ANISH NAG,LIFE SCIENCES,Cell Biology and Genetic Toxicology,https://christuniversity.in/Life Sciences/faculty-details/MjkxMw==/NjA=
Dr  ANITA H B,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NDY=/NjI=
Dr  ANITHA VARGHESE,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/MjA0/MTc=
ANUBIN BINOY,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NzA3MQ==/NjI=
ANUPAMA B NAGARALE,COMPUTER SCIENCE,Data Analytics,https://christuniversity.in/Computer Science/faculty-details/ODUwMw==/NjI=
ANURESHA KRISHNA,STATISTICS AND DATA SCIENCE,Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/NzM5NQ==/OTEy
ANUSHA JAMES,COMPUTER SCIENCE (YESHWANTHPUR),Dependent stress-strength  reliability,https://christuniversity.in/Computer Science/faculty-details/ODUwOA==/ODA0
Dr  APASH ROY,STATISTICS AND DATA SCIENCE,Computer Science and Application,https://christuniversity.in/statistics_and _data_science/faculty-details/NzM4NA==/OTEy
Dr  ARJUN RAO I,LIFE SCIENCES,Anthropology,https://christuniversity.in/Life Sciences/faculty-details/NTk5MQ==/NjA=
Dr  AROKIA PAUL RAJAN R,COMPUTER SCIENCE,Computer Science and Engineering,https://christuniversity.in/Computer Science/faculty-details/MjQ1Ng==/NjI=
Dr  ARULPANDY P,MATHEMATICS (YESHWANTHPUR),Topology And Image Processing,https://christuniversity.in/Mathematics/faculty-details/NTk4Ng==/ODAy
Dr  ARUN K B,LIFE SCIENCES,"Colon cancer, Probiotics, Dietary Fibre",https://christuniversity.in/Life Sciences/faculty-details/NjEzNw==/NjA=
