team,matches_played,matches_won,matches_drawn,matches_lost,tot_goals,right_foot_goal,left_foot_goal,head_goal,penalties_goal,tot_attemps,on_target,blocked,pass_accuracy,possesion,freekicks,attacks,assits,corners,offsides,dribbles,tackles,saves,goals_conceded,fouls_committed,fouls_suffered,yellow_cards,red_cards
Spain,7,7,0,0,15,5,7,2,0,123,42,32,90.2,58.1,81,411,12,44,11,143,88,18,4,94,75,16,1
England,7,3,3,1,8,3,3,2,1,75,22,29,89,55.7,101,344,6,24,11,120,81,17,6,55,95,14,0
Netherlands,6,3,1,2,10,7,1,1,0,80,22,21,88.8,52.7,64,281,8,33,14,84,72,18,1,66,54,11,0
France,6,2,3,1,4,1,0,1,1,98,24,28,89.8,49,75,341,3,34,5,129,72,16,7,64,69,9,0
Germany,5,3,1,1,11,7,3,1,2,94,33,26,91.2,59.2,72,321,2,47,13,145,68,11,4,68,60,14,0
Turkiye,5,3,0,2,8,4,2,2,0,71,23,22,86,49,69,213,5,32,6,84,77,16,8,47,55,20,1
Switzerland,5,2,3,0,8,6,2,0,0,58,21,15,86.8,48.2,64,221,6,23,9,53,51,8,4,60,54,10,0
Portugal,5,2,2,1,5,1,2,0,0,89,25,30,90.4,64.8,68,379,2,47,13,145,73,11,3,41,55,20,1
Austria,4,2,0,2,7,3,1,2,1,52,22,15,85,53,42,205,6,21,5,38,66,11,3,61,40,12,0
Italy,4,1,1,2,3,2,0,1,0,43,10,17,88.8,52.5,52,175,2,24,5,33,52,14,5,42,49,10,0
Slovakia,4,1,1,2,4,2,0,2,0,50,23,11,82.5,47.5,55,169,4,17,8,38,52,12,5,49,46,8,0
Georgia,4,1,1,2,5,3,1,0,2,31,8,8,81.5,38.5,54,103,3,14,1,70,70,29,8,30,46,7,0
Belgium,4,1,1,2,2,2,0,0,0,52,20,19,87.8,53.8,42,207,2,21,5,38,51,14,2,41,37,8,0
Romania,4,1,1,2,4,3,1,0,1,37,16,6,76.8,40.8,48,138,2,16,3,40,45,16,6,38,36,9,0
Slovania,4,0,4,0,2,1,1,0,0,35,19,7,75,35.5,43,117,1,13,9,39,79,14,2,51,34,11,1
Denmark,4,0,3,1,2,2,0,0,0,52,18,18,86.3,50.5,39,185,2,27,8,39,64,12,4,48,28,9,0
Ukraine,3,1,1,1,2,1,1,0,0,42,15,15,87.3,52,29,130,2,15,8,28,44,10,4,29,26,3,0
Hungary,3,1,0,2,2,1,0,1,0,30,10,7,81.3,41.3,37,94,2,15,9,27,51,9,6,32,39,10,0
Croatia,3,0,2,1,3,1,1,0,0,42,14,12,89.3,55.3,37,152,2,5,0,45,42,9,6,46,29,7,0
Serbia,3,0,2,1,1,0,0,1,0,26,6,12,87.7,51.3,33,117,1,13,3,26,44,8,2,32,30,9,0
Czehia,3,0,1,2,3,2,0,0,0,43,18,12,76.3,41.3,31,125,2,14,2,34,45,10,5,42,29,7,0
Albania,3,0,1,2,3,1,1,1,0,33,9,11,84.3,38,40,75,1,6,6,30,33,9,5,24,36,7,0
Scotland,3,0,1,2,2,0,1,0,0,16,3,6,80.7,46.3,53,76,2,7,3,19,42,12,7,36,38,5,1
Poland,3,0,1,2,3,2,0,1,1,36,13,10,82.7,41,37,83,1,10,2,45,42,16,6,40,34,8,0
